ID,Fuga,BehaviorScoring,LineadeCredito,SaldoTotal,Frecuency_Global,MonetaryValue_Global,Recency_Global
343,162043,0,474,540,639,32.5555555555556,246.043,14
344,162668,0,573,4400,13145,22.2666666666667,447.734,27
345,163260,1,347,800,928,20.3333333333333,43.704,275
346,163875,0,753,1400,3151,55.2,38.04,3
347,164659,1,802,720,91,25.8,348.575,14
348,164989,0,807,1900,183,42.6666666666667,205.351,1
349,165051,0,696,2300,1098,22.0666666666667,84.6725,2
350,165617,0,645,2400,2994,29,601.613846153846,55
351,165671,1,374,1050,985,37,450,72
352,165726,0,694,1000,923,111.5,92.4214285714286,30
353,165796,0,646,1200,2387,74.5,117.325,167
354,166324,1,333,1500,858,21.25,55.306,4
355,167475,1,443,2600,4023,8,189,231
356,167868,1,498,1700,7826,23.3333333333333,80.23125,266
357,167967,0,522,700,10337,34.4444444444444,96.754,50
358,169703,1,509,1600,2563,18,470.1,70
359,171005,1,562,2300,297,25.8461538461538,963.925,19
360,172321,0,564,1500,3074,341,425.906666666667,7
361,172343,0,788,800,604,111,520.01,14
362,172453,0,652,1500,1306,22.0666666666667,269.951875,11
363,172550,0,613,500,479,275,161,14
364,172881,0,650,600,65,25.1428571428571,89,53
365,173237,0,706,5000,67,29.7272727272727,130,25
366,174077,0,516,500,525,106.5,126.180714285714,15
367,174191,1,302,5400,18281,20.875,375.78875,19
368,174768,0,813,5000,1857,248,643.5,44
369,175079,0,784,8800,6825,57,177.04,35
370,175271,0,604,1800,330,74,1014.45,4
371,175685,1,496,900,493,12,184.175,2
372,177104,1,747,1850,458,15,722,196
373,178485,1,715,1200,833,57.5,32.6,72
374,178957,0,886,2500,869,24.9285714285714,248.938,11
375,179090,0,487,630,610,39.1111111111111,207.31,0
376,179177,0,896,12900,2938,31.7777777777778,922.078,2
377,179236,1,804,630,56,26,112.1,5
378,179394,0,758,2800,709,308,496.77,7
379,179467,1,413,700,18315,7.5,287.666666666667,294
380,179620,1,610,900,4236,16,198.629090909091,275
381,180019,0,579,2800,4628,47.3333333333333,395.385714285714,4
382,180453,0,747,1200,712,39.25,102.175555555556,0
383,181012,1,559,600,2810,19.5,1096.3,285
384,181314,0,759,600,84,39.2,206.52,113
385,181524,1,764,11000,9210,13.5,3167,252
386,181583,0,733,5800,1004,59,300.843529411765,0
387,182131,0,669,2400,129,58,69.2435483870968,2
388,182165,1,463,2160,9088,12.375,284.28,264
389,183230,1,581,1800,1324,22.6666666666667,151.8675,29
390,183563,0,829,4400,535,53,183.895,3
391,183739,0,575,5200,6744,17.5,628.938095238095,4
392,183902,0,726,5500,7590,63.5,121.5175,24
393,185532,1,630,3200,13075,3,1094.825,361
394,185605,1,914,15600,1223,33.4,303.295454545455,4
395,186016,0,723,2700,328,128,254.55,2
396,186228,0,785,1800,1123,23.4545454545455,143.160833333333,16
397,186539,1,450,1300,2748,15,411.65,324
398,186823,1,548,800,2201,17.75,2500,237
399,187799,0,773,2600,989,37,638.933333333333,22
400,189803,0,680,1800,162,60.2,193.45,19
401,189939,0,627,3780,2028,116.5,412.258,4
402,190176,0,661,2100,342,66.4,233.978333333333,1
403,191457,1,740,8300,698,28,103.583333333333,27
404,192181,0,529,700,298,29,76.6743478260869,1
405,193074,1,769,2700,544,52.25,480.61,122
406,193135,0,472,600,634,55,146.042857142857,22
407,193830,0,664,2300,4948,41.4285714285714,358.1325,9
408,195693,0,770,2400,89,85.5,520.45,105
409,196053,0,549,2200,7677,71,277.855,30
410,196100,1,625,600,621,4,173.833333333333,168
411,196771,0,652,8500,10178,84,347.196875,8
412,197334,0,776,5800,4975,24.5714285714286,219.7,9
413,198033,1,389,1500,2426,12.3333333333333,136.424,246
414,198830,0,858,20000,5850,103,331.26,3
415,198994,0,702,8550,6094,25.1111111111111,416.492,0
416,199558,1,854,14400,3399,19.6470588235294,109,9
417,200608,0,738,2300,244,65.4,182.328333333333,30
418,201275,0,655,2800,1917,139.5,369.25,2
419,201595,0,360,3700,4111,53.6,115.6,74
420,201620,0,848,6900,141,64.2,286.898333333333,1
421,202948,0,915,11600,723,228,422.4875,47
422,203260,0,804,20000,8277,23,127.242666666667,14
423,204267,1,853,7200,164,19.0555555555556,79.4,18
424,204922,1,391,4000,22416,12,216.023333333333,301
425,205799,0,548,3200,2420,22.5,331.166666666667,0
426,205866,1,673,3600,679,8.5,193.613333333333,4
427,206378,1,954,7900,614,12.5,249.82,281
428,206961,0,557,2900,2909,91,191.681666666667,4
429,207411,1,868,15000,2277,33,301.6,269
430,207852,1,325,7500,16780,19.6470588235294,79,9
431,208072,1,742,6300,4301,214,191.55,98
432,208107,1,434,6500,8509,13.5,637.773333333333,14
433,208157,0,725,3600,545,21.4444444444444,226.43,52
434,208412,0,915,20000,739,24.3333333333333,104.576923076923,30
435,208904,0,462,3000,3098,30.75,112.814,19
436,209238,0,840,16000,1415,159,480.385,3
437,209431,0,727,20000,18194,14.2916666666667,407.27,1
438,210039,0,899,15000,3032,39,405.6875,1
439,210276,1,501,2500,2012,30.3636363636364,345.8,19
440,210433,1,708,8200,13385,30.3636363636364,249,4
441,210733,0,502,1000,850,300,1052.9,29
442,213262,0,790,20000,11104,22,220.287894736842,1
443,213837,1,461,2000,2190,15.3913043478261,618.618333333333,9
444,214192,0,860,6000,831,81.25,200.43,3
445,214425,0,535,20000,2964,47.25,384.485,4
446,214992,1,835,15000,17826,33,1042.575,75
447,216488,0,964,15900,176,29.3333333333333,477.361538461538,1
448,216503,0,624,10980,3682,58,1149,8
449,217532,0,669,4200,3041,178,87.5285714285714,3
450,217860,0,893,15000,1552,41.1666666666667,210.939090909091,1
451,219364,0,913,12250,3761,118,312.09,31
452,219946,1,916,20000,6551,22,178.31,67
453,220325,0,606,1700,1285,54.5,181,1
454,220445,1,761,4200,6175,22,324.445,340
455,220711,0,904,10000,799,65,234.6325,4
456,221321,0,692,9500,22682,56,256.7,2
457,221373,0,755,5800,1536,78,285.22,118
458,221730,0,743,14900,3446,39.8333333333333,330,111
459,221946,0,740,14200,5324,32.5714285714286,1827.5,61
460,222025,0,432,7200,6499,250,264,24
461,223934,1,604,1800,377,20,1105.63,248
462,224571,0,678,4550,2974,12.2142857142857,115.568545454545,0
463,226161,0,695,5400,225,37.1428571428571,264,62
464,226439,0,487,3060,3160,58,179.033333333333,76
465,226662,0,26,15600,738,56.4,468.495238095238,2
466,226851,0,448,3200,9384,129,179.13,9
467,227345,1,421,1400,15242,5,500,313
468,227464,1,675,9600,2189,3,1230.5,155
469,227828,1,555,8000,576,19,1316.26,282
470,228537,1,390,1900,549,2,195.333333333333,205
471,229247,0,944,20000,206,86.3333333333333,275.725,4
472,230460,0,741,3000,1146,33.9,364.133636363636,16
473,230543,1,820,9500,501,7.33333333333333,396.504285714286,5
474,231109,1,397,10200,25771,24,261.1,9
475,231376,0,707,3200,542,44,359.958333333333,21
476,232902,0,497,17600,15958,17.5789473684211,858.307,19
477,234750,1,414,10600,22913,13,132.803333333333,14
478,235266,1,629,10900,32414,3.5,170.033333333333,179
479,235372,0,997,16500,558,160.5,312.683333333333,8
480,236255,1,650,20000,7616,25,149.58,90
481,236455,1,521,2500,2766,9.5,1238.46666666667,197
482,238555,1,310,1000,421,30.4,80.335,34
483,239283,0,459,1500,1472,157,231.463333333333,50
484,239383,0,722,11600,4502,102,169.433333333333,27
485,239731,0,948,15700,745,46,790.433333333333,42
486,239979,0,739,2000,705,316,347.965,39
487,240071,1,251,800,1238,7.33333333333333,164.7025,4
488,240444,0,905,11300,2695,217,233.336363636364,73
489,240812,0,934,20000,2835,158.5,1170.5,4
490,242202,0,742,6001,5738,83.5,1487.26,17
491,242663,0,613,4000,2784,46,2796.65,241
492,243002,1,400,3600,419,14.2,70.6,215
493,244833,1,267,2040,1752,9,80,266
494,246499,0,707,3800,2873,43.8571428571429,205.9025,6
495,246601,0,629,20000,7961,15.9090909090909,508.966976744186,9
496,246690,1,612,3900,3074,22.9333333333333,25.475,14
497,247420,0,845,20000,13074,58.5,668.23,2
498,247906,1,565,2500,3621,99.5,377.324,140
499,248152,0,792,7920,2993,31,137.714210526316,14
500,248260,0,753,9500,2419,43,349.68,12
501,248918,0,596,1100,593,37,70.1428571428571,0
502,249024,1,221,3650,6927,22.5,145.866666666667,311
503,249091,0,831,11700,1651,110,188.9,24
504,249346,0,582,20000,17112,25.2307692307692,499.4,28
505,250415,0,778,6800,5928,68,109.69,12
506,251427,1,821,15000,981,30.3636363636364,174.175,4
507,251860,1,704,1400,480,140,163.966666666667,167
508,251895,0,495,1200,667,30.75,165.834444444444,101
509,252230,1,496,14600,7278,10,159.225,351
510,252456,0,857,17000,1746,62.2,468.528333333333,4
511,252496,1,770,11700,8734,33.2,46.82,22
512,252806,0,841,12800,3567,52.3333333333333,198.87,5
513,253082,0,794,8800,336,287,402.21,5
514,253538,1,414,2355,8360,4.5,308.733333333333,313
515,253964,1,862,15000,7717,18,148.9,4
516,254122,1,662,3450,360,26,435.09,296
517,254836,1,823,4200,125,27.8333333333333,278.9,12
518,255499,0,794,6000,1078,71.6666666666667,594.515714285714,0
519,256888,0,547,4000,701,20.5882352941176,110.125,7
520,256906,0,774,4500,2191,42.5,124.432857142857,18
521,258289,1,754,4000,273,54,146.425,194
522,258562,1,646,1700,352,1,36.98,270
523,258647,0,589,5100,14749,28.8571428571429,667.9,29
524,259180,0,989,20000,1124,31.1818181818182,472.583333333333,14
525,259969,0,445,3400,4898,76,401.469166666667,24
526,260164,0,791,2300,498,153,109.7,11
527,260683,1,459,2100,2844,27,92.8333333333333,275
528,261215,1,881,15200,114,56.8333333333333,562.7,9
529,261300,0,477,500,575,130.5,109.283333333333,21
530,261581,0,718,3000,1318,74.75,198.874,1
531,261650,0,731,9100,3639,37.2857142857143,185.136666666667,2
532,262930,0,489,3700,4120,71,334.75,88
533,263148,1,607,1500,1545,8.83333333333333,269.105789473684,175
534,263696,1,482,4000,1371,28.5,135.431428571429,243
535,264179,0,626,5900,3440,99.5,176.4,6
536,264864,0,739,4300,180,79,137.12,7
537,265412,0,789,1400,786,76.5,254.833333333333,4
538,265677,1,466,5000,17609,33.4,175.56,29
